,Domain,SubDomain,Model,PPL-Score
0,class,all,bert-base-uncased,0.460431654676259
1,class,freeform_full,bert-base-uncased,0.1839080459770115
2,class,freeform_prof,bert-base-uncased,0.7053571428571429
3,class,template_wealth,bert-base-uncased,0.4177215189873418
4,gender,all,bert-base-uncased,0.4533898305084746
5,gender,freeform_family_full,bert-base-uncased,0.34156378600823045
6,gender,freeform_family_stereotype,bert-base-uncased,0.33088235294117646
7,gender,freeform_full,bert-base-uncased,0.5041322314049587
8,gender,freeform_generic,bert-base-uncased,0.40414507772020725
9,gender,freeform_job,bert-base-uncased,0.6772151898734177
10,gender,freeform_prof_full,bert-base-uncased,0.4144736842105263
11,gender,freeform_prof_stereotype,bert-base-uncased,0.45569620253164556
12,gender,template_assoc,bert-base-uncased,0.4074074074074074
13,gender,template_hetpos,bert-base-uncased,0.6086956521739131
14,nationality,all,bert-base-uncased,0.5765765765765766
15,nationality,freeform_full,bert-base-uncased,0.627906976744186
16,nationality,freeform_immigrant,bert-base-uncased,0.5614035087719298
17,nationality,template_assoc,bert-base-uncased,0.5316455696202531
18,religion,all,bert-base-uncased,0.8363636363636363
19,religion,freeform_antisem,bert-base-uncased,0.8363636363636363
