,Domain,SubDomain,Model,PPL-Score
0,class,all,bert-base-uncased,0.44244604316546765
1,class,freeform_full,bert-base-uncased,0.13793103448275862
2,class,freeform_prof,bert-base-uncased,0.7142857142857143
3,class,template_wealth,bert-base-uncased,0.3924050632911392
4,gender,all,bert-base-uncased,0.4332627118644068
5,gender,freeform_family_full,bert-base-uncased,0.27983539094650206
6,gender,freeform_family_stereotype,bert-base-uncased,0.3014705882352941
7,gender,freeform_full,bert-base-uncased,0.4214876033057851
8,gender,freeform_generic,bert-base-uncased,0.39896373056994816
9,gender,freeform_job,bert-base-uncased,0.7215189873417721
10,gender,freeform_prof_full,bert-base-uncased,0.47368421052631576
11,gender,freeform_prof_stereotype,bert-base-uncased,0.5189873417721519
12,gender,template_assoc,bert-base-uncased,0.25925925925925924
13,gender,template_hetpos,bert-base-uncased,0.5652173913043478
14,nationality,all,bert-base-uncased,0.5585585585585585
15,nationality,freeform_full,bert-base-uncased,0.5813953488372093
16,nationality,freeform_immigrant,bert-base-uncased,0.5789473684210527
17,nationality,template_assoc,bert-base-uncased,0.5189873417721519
18,religion,all,bert-base-uncased,0.8090909090909091
19,religion,freeform_antisem,bert-base-uncased,0.8090909090909091
