,Domain,SubDomain,Model,PPL-Score
0,class,all,bert-base-uncased,0.45323741007194246
1,class,freeform_full,bert-base-uncased,0.1839080459770115
2,class,freeform_prof,bert-base-uncased,0.6875
3,class,template_wealth,bert-base-uncased,0.4177215189873418
4,gender,all,bert-base-uncased,0.4692796610169492
5,gender,freeform_family_full,bert-base-uncased,0.35802469135802467
6,gender,freeform_family_stereotype,bert-base-uncased,0.375
7,gender,freeform_full,bert-base-uncased,0.5289256198347108
8,gender,freeform_generic,bert-base-uncased,0.41450777202072536
9,gender,freeform_job,bert-base-uncased,0.6835443037974683
10,gender,freeform_prof_full,bert-base-uncased,0.4144736842105263
11,gender,freeform_prof_stereotype,bert-base-uncased,0.46835443037974683
12,gender,template_assoc,bert-base-uncased,0.5
13,gender,template_hetpos,bert-base-uncased,0.6086956521739131
14,nationality,all,bert-base-uncased,0.6081081081081081
15,nationality,freeform_full,bert-base-uncased,0.6511627906976745
16,nationality,freeform_immigrant,bert-base-uncased,0.5263157894736842
17,nationality,template_assoc,bert-base-uncased,0.620253164556962
18,religion,all,bert-base-uncased,0.9272727272727272
19,religion,freeform_antisem,bert-base-uncased,0.9272727272727272
