,Domain,SubDomain,Model,PPL-Score
0,class,all,gpt2,0.5107913669064749
1,class,freeform_full,gpt2,0.5862068965517241
2,class,freeform_prof,gpt2,0.48214285714285715
3,class,template_wealth,gpt2,0.46835443037974683
4,gender,all,gpt2,0.5741525423728814
5,gender,freeform_family_full,gpt2,0.7448559670781894
6,gender,freeform_family_stereotype,gpt2,0.7352941176470589
7,gender,freeform_full,gpt2,0.3305785123966942
8,gender,freeform_generic,gpt2,0.6217616580310881
9,gender,freeform_job,gpt2,0.4620253164556962
10,gender,freeform_prof_full,gpt2,0.6513157894736842
11,gender,freeform_prof_stereotype,gpt2,0.6835443037974683
12,gender,template_assoc,gpt2,0.35185185185185186
13,gender,template_hetpos,gpt2,0.43478260869565216
14,nationality,all,gpt2,0.5405405405405406
15,nationality,freeform_full,gpt2,0.5697674418604651
16,nationality,freeform_immigrant,gpt2,0.5964912280701754
17,nationality,template_assoc,gpt2,0.46835443037974683
18,religion,all,gpt2,0.4090909090909091
19,religion,freeform_antisem,gpt2,0.4090909090909091
