,Domain,SubDomain,Model,PPL-Score
0,class,all,gpt2,0.44244604316546765
1,class,freeform_full,gpt2,0.28735632183908044
2,class,freeform_prof,gpt2,0.5625
3,class,template_wealth,gpt2,0.4430379746835443
4,gender,all,gpt2,0.5338983050847458
5,gender,freeform_family_full,gpt2,0.2222222222222222
6,gender,freeform_family_stereotype,gpt2,0.2647058823529412
7,gender,freeform_full,gpt2,0.6611570247933884
8,gender,freeform_generic,gpt2,0.35751295336787564
9,gender,freeform_job,gpt2,0.8291139240506329
10,gender,freeform_prof_full,gpt2,0.7960526315789473
11,gender,freeform_prof_stereotype,gpt2,0.759493670886076
12,gender,template_assoc,gpt2,0.7037037037037037
13,gender,template_hetpos,gpt2,0.4782608695652174
14,nationality,all,gpt2,0.6171171171171171
15,nationality,freeform_full,gpt2,0.5465116279069767
16,nationality,freeform_immigrant,gpt2,0.6491228070175439
17,nationality,template_assoc,gpt2,0.6708860759493671
18,religion,all,gpt2,0.21818181818181817
19,religion,freeform_antisem,gpt2,0.21818181818181817
