,Domain,SubDomain,Model,PPL-Score
0,class,all,gpt2,0.4748201438848921
1,class,freeform_full,gpt2,0.4942528735632184
2,class,freeform_prof,gpt2,0.41964285714285715
3,class,template_wealth,gpt2,0.5316455696202531
4,gender,all,gpt2,0.5095338983050848
5,gender,freeform_family_full,gpt2,0.25102880658436216
6,gender,freeform_family_stereotype,gpt2,0.3014705882352941
7,gender,freeform_full,gpt2,0.5289256198347108
8,gender,freeform_generic,gpt2,0.32124352331606215
9,gender,freeform_job,gpt2,0.8164556962025317
10,gender,freeform_prof_full,gpt2,0.8289473684210527
11,gender,freeform_prof_stereotype,gpt2,0.7974683544303798
12,gender,template_assoc,gpt2,0.46296296296296297
13,gender,template_hetpos,gpt2,0.6086956521739131
14,nationality,all,gpt2,0.5540540540540541
15,nationality,freeform_full,gpt2,0.5116279069767442
16,nationality,freeform_immigrant,gpt2,0.5614035087719298
17,nationality,template_assoc,gpt2,0.5949367088607594
18,religion,all,gpt2,0.17272727272727273
19,religion,freeform_antisem,gpt2,0.17272727272727273
