,Domain,SubDomain,Model,PPL-Score
0,class,all,gpt2,0.4460431654676259
1,class,freeform_full,gpt2,0.27586206896551724
2,class,freeform_prof,gpt2,0.5892857142857143
3,class,template_wealth,gpt2,0.43037974683544306
4,gender,all,gpt2,0.5021186440677966
5,gender,freeform_family_full,gpt2,0.23045267489711935
6,gender,freeform_family_stereotype,gpt2,0.2647058823529412
7,gender,freeform_full,gpt2,0.6611570247933884
8,gender,freeform_generic,gpt2,0.36787564766839376
9,gender,freeform_job,gpt2,0.7531645569620253
10,gender,freeform_prof_full,gpt2,0.625
11,gender,freeform_prof_stereotype,gpt2,0.5569620253164557
12,gender,template_assoc,gpt2,0.7777777777777778
13,gender,template_hetpos,gpt2,0.4782608695652174
14,nationality,all,gpt2,0.6261261261261262
15,nationality,freeform_full,gpt2,0.5697674418604651
16,nationality,freeform_immigrant,gpt2,0.6491228070175439
17,nationality,template_assoc,gpt2,0.6708860759493671
18,religion,all,gpt2,0.2
19,religion,freeform_antisem,gpt2,0.2
