,Domain,SubDomain,Model,PPL-Score
0,class,all,gpt2,0.4244604316546763
1,class,freeform_full,gpt2,0.25287356321839083
2,class,freeform_prof,gpt2,0.5625
3,class,template_wealth,gpt2,0.4177215189873418
4,gender,all,gpt2,0.527542372881356
5,gender,freeform_family_full,gpt2,0.2345679012345679
6,gender,freeform_family_stereotype,gpt2,0.25735294117647056
7,gender,freeform_full,gpt2,0.6611570247933884
8,gender,freeform_generic,gpt2,0.35233160621761656
9,gender,freeform_job,gpt2,0.7974683544303798
10,gender,freeform_prof_full,gpt2,0.7368421052631579
11,gender,freeform_prof_stereotype,gpt2,0.6708860759493671
12,gender,template_assoc,gpt2,0.8148148148148148
13,gender,template_hetpos,gpt2,0.4782608695652174
14,nationality,all,gpt2,0.6846846846846847
15,nationality,freeform_full,gpt2,0.6395348837209303
16,nationality,freeform_immigrant,gpt2,0.6140350877192983
17,nationality,template_assoc,gpt2,0.7848101265822784
18,religion,all,gpt2,0.9090909090909091
19,religion,freeform_antisem,gpt2,0.9090909090909091
